county_name,fips,tot_pop,uep
"Autauga, Alabama",01001,54509,3.6
"Baldwin, Alabama",01003,206023,3.6
"Barbour, Alabama",01005,25469,5.1
"Bibb, Alabama",01007,22112,3.9
"Blount, Alabama",01009,57144,3.5
"Bullock, Alabama",01011,10333,4.6
"Butler, Alabama",01013,19869,4.7
"Calhoun, Alabama",01015,113469,4.6
"Chambers, Alabama",01017,33558,3.8
"Cherokee, Alabama",01019,25572,3.5
"Chilton, Alabama",01021,43484,3.6
"Choctaw, Alabama",01023,12958,5.4
"Clarke, Alabama",01025,24214,7.4
"Clay, Alabama",01027,13272,3.8
"Cleburne, Alabama",01029,14868,4.2
"Coffee, Alabama",01031,50870,3.9
"Colbert, Alabama",01033,53979,4.5
"Conecuh, Alabama",01035,12373,5.1
"Coosa, Alabama",01037,10774,4.1
"Covington, Alabama",01039,36946,4.5
"Crenshaw, Alabama",01041,13749,4
"Cullman, Alabama",01043,81759,3.2
"Dale, Alabama",01045,48567,4.1
"Dallas, Alabama",01047,39276,6.4
"DeKalb, Alabama",01049,70262,3.8
"Elmore, Alabama",01051,80312,3.4
"Escambia, Alabama",01053,36865,4.5
"Etowah, Alabama",01055,101901,4
"Fayette, Alabama",01057,16372,4
"Franklin, Alabama",01059,31225,3.7
"Geneva, Alabama",01061,26204,3.9
"Greene, Alabama",01063,8319,6.6
"Hale, Alabama",01065,14716,5
"Henry, Alabama",01067,16990,4.4
"Houston, Alabama",01069,103111,4
"Jackson, Alabama",01071,51318,4
"Jefferson, Alabama",01073,651278,3.7
"Lamar, Alabama",01075,13816,3.7
"Lauderdale, Alabama",01077,91668,4.1
"Lawrence, Alabama",01079,32847,4.1
"Lee, Alabama",01081,157620,3.6
"Limestone, Alabama",01083,92111,3.5
"Lowndes, Alabama",01085,10137,7.2
"Macon, Alabama",01087,18898,5.3
"Madison, Alabama",01089,353676,3.4
"Marengo, Alabama",01091,19354,4.9
"Marion, Alabama",01093,29747,4
"Marshall, Alabama",01095,93916,3.3
"Mobile, Alabama",01097,409327,4.6
"Monroe, Alabama",01099,21174,6
"Montgomery, Alabama",01101,224483,3.9
"Morgan, Alabama",01103,117789,3.4
"Perry, Alabama",01105,9486,6.4
"Pickens, Alabama",01107,20071,4.5
"Pike, Alabama",01109,32831,4.5
"Randolph, Alabama",01111,22335,4
"Russell, Alabama",01113,57465,4
"St. Clair, Alabama",01115,86480,3.4
"Shelby, Alabama",01117,208700,2.8
"Sumter, Alabama",01119,12903,5.7
"Talladega, Alabama",01121,79751,4.2
"Tallapoosa, Alabama",01123,40151,4.1
"Tuscaloosa, Alabama",01125,203806,3.6
"Walker, Alabama",01127,63791,4.2
"Washington, Alabama",01129,16538,5.7
"Wilcox, Alabama",01131,10685,9.4
"Winston, Alabama",01133,23704,4.1
"Apache, Arizona",04001,70666,9.8
"Cochise, Arizona",04003,124759,5.5
"Coconino, Arizona",04005,138907,5.4
"Gila, Arizona",04007,52960,5.7
"Graham, Arizona",04009,37426,5
"Greenlee, Arizona",04011,9300,4.1
"La Paz, Arizona",04012,20497,6.1
"Maricopa, Arizona",04013,4203415,4.1
"Mohave, Arizona",04015,204536,5.6
"Navajo, Arizona",04017,107122,7.6
"Pima, Arizona",04019,1007876,4.4
"Pinal, Arizona",04021,414701,4.9
"Santa Cruz, Arizona",04023,45851,9.1
"Yavapai, Arizona",04025,223104,4.4
"Yuma, Arizona",04027,204595,16.7
"Arkansas, Arkansas",05001,17936,3.3
"Ashley, Arkansas",05003,20306,5.2
"Baxter, Arkansas",05005,40835,4.1
"Benton, Arkansas",05007,255356,2.9
"Boone, Arkansas",05009,36742,3.5
"Bradley, Arkansas",05011,10835,4.3
"Calhoun, Arkansas",05013,5175,3.8
"Carroll, Arkansas",05015,27639,3.2
"Chicot, Arkansas",05017,10693,6.7
"Clark, Arkansas",05019,22126,3.6
"Clay, Arkansas",05021,14902,4.3
"Cleburne, Arkansas",05023,24988,4.5
"Cleveland, Arkansas",05025,8181,3.8
"Columbia, Arkansas",05027,23582,4.7
"Conway, Arkansas",05029,20674,4.3
"Craighead, Arkansas",05031,104527,3
"Crawford, Arkansas",05033,61735,3.5
"Crittenden, Arkansas",05035,48206,4.3
"Cross, Arkansas",05037,16730,4.1
"Dallas, Arkansas",05039,7351,4.2
"Desha, Arkansas",05041,11731,4.4
"Drew, Arkansas",05043,18220,4.8
"Faulkner, Arkansas",05045,121124,3.2
"Franklin, Arkansas",05047,17456,3.5
"Fulton, Arkansas",05049,11995,4
"Garland, Arkansas",05051,97315,4
"Grant, Arkansas",05053,17905,3.1
"Greene, Arkansas",05055,44070,3.4
"Hempstead, Arkansas",05057,21662,3.5
"Hot Spring, Arkansas",05059,33068,3.7
"Howard, Arkansas",05061,13271,3.4
"Independence, Arkansas",05063,36949,4
"Izard, Arkansas",05065,13407,5.4
"Jackson, Arkansas",05067,17105,6
"Jefferson, Arkansas",05069,69713,5.2
"Johnson, Arkansas",05071,25978,4.5
"Lafayette, Arkansas",05073,6884,5.1
"Lawrence, Arkansas",05075,16537,3.9
"Lee, Arkansas",05077,9256,4.8
"Lincoln, Arkansas",05079,13584,4.2
"Little River, Arkansas",05081,12297,5.2
"Logan, Arkansas",05083,21485,4
"Lonoke, Arkansas",05085,71243,3.1
"Madison, Arkansas",05087,15847,2.9
"Marion, Arkansas",05089,16252,4.1
"Miller, Arkansas",05091,43174,4.8
"Mississippi, Arkansas",05093,42145,5.6
"Monroe, Arkansas",05095,7160,4.2
"Montgomery, Arkansas",05097,8915,4.7
"Nevada, Arkansas",05099,8371,3.4
"Newton, Arkansas",05101,7843,3.3
"Ouachita, Arkansas",05103,23842,4.5
"Perry, Arkansas",05105,10127,4.1
"Phillips, Arkansas",05107,18735,6
"Pike, Arkansas",05109,10680,4
"Poinsett, Arkansas",05111,23699,3.8
"Polk, Arkansas",05113,20026,4.1
"Pope, Arkansas",05115,62816,4.4
"Prairie, Arkansas",05117,8149,3.8
"Pulaski, Arkansas",05119,388491,3.4
"Randolph, Arkansas",05121,17387,3.9
"St. Francis, Arkansas",05123,26038,5
"Saline, Arkansas",05125,116626,3
"Scott, Arkansas",05127,10243,3.6
"Searcy, Arkansas",05129,7839,4.3
"Sebastian, Arkansas",05131,125540,3.5
"Sevier, Arkansas",05133,16948,4.5
"Sharp, Arkansas",05135,16962,4.7
"Stone, Arkansas",05137,12353,4.5
"Union, Arkansas",05139,39252,5.4
"Van Buren, Arkansas",05141,16553,5.2
"Washington, Arkansas",05143,224867,2.6
"White, Arkansas",05145,77758,4.3
"Woodruff, Arkansas",05147,6607,4.7
"Yell, Arkansas",05149,21300,4.1
"Alameda, California",06001,1625557,3.1
"Alpine, California",06003,1138,4.6
"Amador, California",06005,37524,4.1
"Butte, California",06007,225108,5.1
"Calaveras, California",06009,44944,4.1
"Colusa, California",06011,21242,13.3
"Contra Costa, California",06013,1121917,3.2
"Del Norte, California",06015,26994,5.7
"El Dorado, California",06017,185014,3.7
"Fresno, California",06019,964182,7.6
"Glenn, California",06021,27501,6.6
"Humboldt, California",06023,134312,3.6
"Imperial, California",06025,177168,18.9
"Inyo, California",06027,17885,3.9
"Kern, California",06029,870602,8.1
"Kings, California",06031,148252,7.9
"Lake, California",06033,63551,5.3
"Lassen, California",06035,30813,4.8
"Los Angeles, California",06037,9982227,4.7
"Madera, California",06039,152969,7.1
"Marin, California",06041,257923,2.4
"Mariposa, California",06043,17400,5.4
"Mendocino, California",06045,86449,4
"Merced, California",06047,265686,8.4
"Modoc, California",06049,8874,7.6
"Mono, California",06051,13998,4.1
